"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"211-48","27 AGASSIZ ST","101","SNGL-FAM-RES",8580.000132,926600,876900,1803500,"  1372/ 131",8/7/2009,"VICTORIAN",5899,"ST",1894,"2.5"
"211-51","18 HILLSIDE AVE","101","SNGL-FAM-RES",3600.0000828,669600,348800,1018400," 38649/ 175",4/2/2003,"COLONIAL",3081,"CN",1931,"2"
"211-52","16 HILLSIDE AVE","101","SNGL-FAM-RES",3600.0000828,669600,562400,1232000," 49423/ 442",5/10/2007,"COLONIAL",2612,"CN",1930,"2"
"211-53","17 LINNAEAN ST","9571","Charitable Svc",24485.9999076,1065100,366200,1431300,"/",1/1/1900,"COLONIAL",5879,"ST",1700,""
"211-54","33 WASHINGTON AVE","199","CONDO-BLDG",13022.0002044,0,0,0,"/",1/1/1900,"",12384,"",1900,"2.75"
"211-54","33 WASHINGTON AVE #1","102","CONDOMINIUM",0,0,376200,376200," 59954/  63",9/7/2012,"APARTMENT",730,"AP",1900,"1"
"211-54","33 WASHINGTON AVE #2","102","CONDOMINIUM",0,0,656000,656000," 23320/ 430",6/18/1993,"APARTMENT",1540,"AP",1900,"1"
"211-54","33 WASHINGTON AVE #3","102","CONDOMINIUM",0,0,759300,759300," 55087/ 340",7/30/2010,"APARTMENT",1730,"AP",1900,"1"
"211-54","33 WASHINGTON AVE #5","102","CONDOMINIUM",0,0,946800,946800," 24999/  95",11/17/1994,"APARTMENT",2530,"AP",1900,"2"
"211-54","33 WASHINGTON AVE #6","102","CONDOMINIUM",0,0,307400,307400," 36945/ 193",11/5/2002,"BASEMENT",800,"",1900,"1"
"211-54","33 WASHINGTON AVE #7","102","CONDOMINIUM",0,0,347100,347100," 59094/ 460",5/15/2012,"BASEMENT",900,"AP",1900,"1"
"211-55","25 WASHINGTON AVE","101","SNGL-FAM-RES",8020.0001772,807900,964500,1772400," 15329/ 270",11/23/1983,"CONVENTIONAL",5456,"CN",1985,"2"
"211-56","6 AVON PL","199","CONDO-BLDG",7899.9997824,0,0,0," 21861/ 126",1/1/1998,"",6312,"",1873,"2.5"
"211-56","6-8 AVON PL #1","102","CONDOMINIUM",0,0,758500,758500," 21861/ 166",3/20/1992,"TOWNHOUSE",1913,"TT",1873,"3"
"211-56","6-8 AVON PL #2","102","CONDOMINIUM",0,0,755000,755000," 28842/ 240",7/16/1998,"TOWNHOUSE",1913,"TT",1873,"3"
"212-1","32 LINNAEAN ST","199","CONDO-BLDG",9324.9998424,0,0,0,"/",1/1/1998,"",7030,"",1863,"3"
"212-1","32 LINNAEAN ST #1","102","CONDOMINIUM",0,0,872600,872600," 26548/ 317",8/1/1996,"TWO-FLOORS",1916,"TW",1863,"2"
"212-1","32 LINNAEAN ST #2","102","CONDOMINIUM",0,0,741700,741700," 37618/ 273",1/9/2003,"FLAT",1631,"FL",1863,"1"
"212-1","32 LINNAEAN ST #3","102","CONDOMINIUM",0,0,608200,608200," 38004/ 188",2/14/2003,"SEMIDETACHED",1360,"FL",1863,"1"
"212-2","31 GRAY ST","101","SNGL-FAM-RES",5674.0001472,751500,890200,1641700," 30456/ 495",7/23/1999,"VICTORIAN",6705,"ST",1893,"2.75"
"212-3","25 GRAY ST","199","CONDO-BLDG",5696.0001252,0,0,0," 30806/ 482",10/2/2000,"",5728,"",1926,"2.75"
"212-3","25-27 GRAY ST #25","102","CONDOMINIUM",0,0,1252000,1252000," 59259/ 403",6/8/2012,"SEMIDETACHED",2536,"",1926,"4"
"212-3","25-27 GRAY ST #27","102","CONDOMINIUM",0,0,1207700,1207700," 51907/ 480",11/19/2008,"SEMIDETACHED",2411,"",1926,"4"
"212-4","21 GRAY ST","199","CONDO-BLDG",5718.9998052,714900,0,714900," 43676/ 514",9/8/2004,"",7856,"",1903,"2.5"
"212-4","21 GRAY ST #A","102","CONDOMINIUM",0,0,846200,846200," 51504/  78",7/30/2008,"TWO-FLOORS",2354,"",1903,""
"212-4","21 GRAY ST #B","102","CONDOMINIUM",0,0,928900,928900," 55035/ 153",7/23/2010,"TWO-FLOORS",2260,"",1903,""
"212-5","17 GRAY ST","199","CONDO-BLDG",5633.9998704,0,0,0,"/",1/1/1900,"",5082,"",1900,"3"
"212-5","17 GRAY ST #1","102","CONDOMINIUM",0,0,242300,242300," 24254/ 321",2/11/1994,"APARTMENT",530,"AP",1900,"1"
"212-5","17 GRAY ST #3","102","CONDOMINIUM",0,0,257500,257500," 27917/ 248",11/26/1997,"FLAT",598,"FL",1900,"1"
"212-5","17 GRAY ST #4","102","CONDOMINIUM",0,0,374800,374800," 54580/ 393",4/23/2010,"APARTMENT",986,"",1900,"1"
"212-5","17 GRAY ST #5","102","CONDOMINIUM",0,0,536100,536100," 14778/  71",11/3/1982,"APARTMENT",1570,"AP",1900,"1"
"212-5","17 GRAY ST #6","102","CONDOMINIUM",0,0,360600,360600," 14619/ 473",5/27/1982,"APARTMENT",972,"",1900,"1"
"212-6","65 MARTIN ST","199","CONDO-BLDG",7624.9998396,2005500,-2005500,0," 34067/ 402",9/3/1982,"",26966,"",1890,"3.0"
"212-6","1-11 GRAY ST #1/1","102","CONDOMINIUM",0,0,353700,353700," 52353/ 348",3/5/2009,"APARTMENT",815,"",1890,""
"212-6","1-11 GRAY ST #1/2","102","CONDOMINIUM",0,0,294600,294600," 52353/ 348",3/5/2009,"APARTMENT",625,"",1890,""
"212-6","1-11 GRAY ST #1/3","102","CONDOMINIUM",0,0,301200,301200," 52353/ 348",3/5/2009,"APARTMENT",650,"",1890,""
"212-6","1-11 GRAY ST #1/4","102","CONDOMINIUM",0,0,353700,353700," 52353/ 348",3/5/2009,"APARTMENT",815,"",1890,""
"212-6","1-11 GRAY ST #1/5","102","CONDOMINIUM",0,0,294600,294600," 52353/ 348",3/5/2009,"APARTMENT",625,"",1890,""
"212-6","1-11 GRAY ST #1/6","102","CONDOMINIUM",0,0,301200,301200," 52353/ 348",3/5/2009,"APARTMENT",650,"",1890,""
"212-6","1-11 GRAY ST #1/7","102","CONDOMINIUM",0,0,353700,353700," 52353/ 348",3/5/2009,"APARTMENT",815,"",1890,""
"212-6","1-11 GRAY ST #1/8","102","CONDOMINIUM",0,0,294600,294600," 52353/ 348",3/5/2009,"APARTMENT",625,"",1890,""
"212-6","1-11 GRAY ST #1/9","102","CONDOMINIUM",0,0,301200,301200," 52353/ 348",3/5/2009,"APARTMENT",650,"",1890,""
"212-6","1-11 GRAY ST #1/B","102","CONDOMINIUM",0,0,241600,241600," 52353/ 348",3/5/2009,"BASEMENT",625,"",1890,""
"212-6","1-11 GRAY ST #11/1","102","CONDOMINIUM",0,0,344300,344300," 52353/ 348",3/5/2009,"APARTMENT",780,"",1890,""
"212-6","1-11 GRAY ST #11/2","102","CONDOMINIUM",0,0,290500,290500," 52353/ 348",3/5/2009,"APARTMENT",610,"",1890,""
"212-6","1-11 GRAY ST #11/3","102","CONDOMINIUM",0,0,209500,209500," 52353/ 348",3/5/2009,"APARTMENT",375,"",1890,""
"212-6","1-11 GRAY ST #11/4","102","CONDOMINIUM",0,0,212300,212300," 52353/ 348",3/5/2009,"APARTMENT",380,"",1890,""
"212-6","1-11 GRAY ST #11/5","102","CONDOMINIUM",0,0,344300,344300," 52353/ 348",3/5/2009,"APARTMENT",780,"",1890,""
"212-6","1-11 GRAY ST #11/6","102","CONDOMINIUM",0,0,290500,290500," 52353/ 348",3/5/2009,"APARTMENT",610,"",1890,""
"212-6","1-11 GRAY ST #11/7","102","CONDOMINIUM",0,0,209500,209500," 52353/ 348",3/5/2009,"APARTMENT",375,"",1890,""
"212-6","1-11 GRAY ST #11/8","102","CONDOMINIUM",0,0,212300,212300," 52353/ 348",3/5/2009,"APARTMENT",380,"",1890,""
"212-6","1-11 GRAY ST #11/9","102","CONDOMINIUM",0,0,344300,344300," 52353/ 348",3/5/2009,"APARTMENT",780,"",1890,""
"212-6","1-11 GRAY ST #1/B65","102","CONDOMINIUM",0,0,290000,290000," 52353/ 348",3/5/2009,"BASEMENT",815,"",1890,""
"212-6","1-11 GRAY ST #11/10","102","CONDOMINIUM",0,0,290500,290500," 52353/ 348",3/5/2009,"APARTMENT",610,"",1890,""
"212-6","1-11 GRAY ST #11/11","102","CONDOMINIUM",0,0,214600,214600," 52353/ 348",3/5/2005,"APARTMENT",375,"",1890,""
"212-6","1-11 GRAY ST #11/12","102","CONDOMINIUM",0,0,212300,212300," 52353/ 348",3/5/2005,"APARTMENT",380,"",1890,""
"212-7","71 MARTIN ST","112",">8-UNIT-APT",9059.9999688,2688000,3092200,5780200," 46746/  31",12/29/2005,"APARTMENTS",19645,"35",1900,"4"
"212-14","34 LINNAEAN ST","199","CONDO-BLDG",7370.0000352,749300,-749300,0," 43658/ 348",9/3/2004,"",8955,"",1900,"2.5"
"212-14","34 LINNAEAN ST #1","102","CONDOMINIUM",0,0,721100,721100," 52704/  33",5/4/2009,"TWO-FLOORS",1494,"",1900,""
"212-14","34 LINNAEAN ST #2","102","CONDOMINIUM",0,0,670000,670000," 49190/ 116",3/28/2007,"TWO-FLOORS",1470,"",1900,""
"212-14","34 LINNAEAN ST #3","102","CONDOMINIUM",0,0,823900,823900," 49120/ 112",3/13/2007,"APARTMENT",1734,"",1900,""
"212-14","34 LINNAEAN ST #4","102","CONDOMINIUM",0,0,452000,452000," 49410/ 541",5/7/2007,"ATTIC",862,"",1900,""
"212-19","25 AVON ST","199","CONDO-BLDG",9483.9999408,906400,10200,916600," 45309/ 237",6/2/2005,"",8627,"",1873,"2"
"212-19","25 AVON ST","102","CONDOMINIUM",0,0,1007600,1007600," 45309/ 192",6/2/2005,"TOWNHSE-END",2330,"",2005,""
"212-19","25 AVON ST","102","CONDOMINIUM",0,0,1120200,1120200," 58998/ 248",4/30/2012,"TOWNHSE-END",2560,"",2005,""
"212-19","29 AVON ST","102","CONDOMINIUM",0,0,765800,765800," 59976/ 189",9/11/2012,"APARTMENT",1704,"",2005,""
"212-22","19 AVON ST","101","SNGL-FAM-RES",4500.0002124,702200,1155300,1857500," 56187/  61",12/30/2010,"VICTORIAN",4833,"ST",1886,"3"
"212-23","11-15 AVON ST","199","CONDO-BLDG",12285.99999,999500,3000,1002500," 55228/ 437",8/24/2010,"",8443,"",1900,"3"
"212-23","13 AVON ST #11","1021","CNDO LUX",0,0,1273400,1273400," 57673/ 422",10/19/2011,"TOWNHOUSE",2236,"",1900,""
"212-23","13 AVON ST #13","1021","CNDO LUX",0,0,1103800,1103800," 56925/ 504",5/31/2011,"TOWNHOUSE",1860,"",1900,""
"212-23","13 AVON ST #15","1021","CNDO LUX",0,0,1728700,1728700," 56979/ 542",6/13/2011,"TOWNHOUSE",2945,"",1900,""
"212-24","7-9 AVON ST","199","CONDO-BLDG",10568.999826,0,0,0,"/",1/30/1980,"",7434,"",1873,"2.5"
"212-24","7-9 AVON ST #1","102","CONDOMINIUM",0,0,1047800,1047800," 19430/ 546",10/27/1988,"SEMIDETACHED",2715,"SD",1873,"3"
"212-24","7-9 AVON ST #2","102","CONDOMINIUM",0,0,921500,921500," 23088/ 354",4/16/1993,"SEMIDETACHED",2300,"SD",1873,"3"
"212-26","27 SHEPARD ST","101","SNGL-FAM-RES",4057.9999416,564900,775800,1340700," 42796/ 208",5/14/2004,"VICTORIAN",3704,"BK",1873,"2.5"
"212-27","29 SHEPARD ST","101","SNGL-FAM-RES",5977.0000224,635700,443300,1079000," 48843/ 154",1/16/2007,"CONVENTIONAL",3861,"BK",1873,"2.5"
"212-28","31 SHEPARD ST","101","SNGL-FAM-RES",5173.0000344,730000,746400,1476400," 25654/ 389",9/14/1995,"CONVENTIONAL",3853,"ST",1873,"2.5"
"212-29","91 WALKER ST","942","Private College, University",23370.0001128,1472300,3601000,5073300,"/",6/28/1957,"DORMITORY",12800,"",1960,""
"212-31","107 WALKER ST","9421","Private College, University",9153.0001332,411900,897500,1309400,"/",10/4/1961,"CONVENTIONAL",6828,"CN",1903,"2.5"
"212-32","113 WALKER ST","101","SNGL-FAM-RES",9121.999788,1218500,888300,2106800," 31981/ 454",10/31/2000,"COLONIAL",5904,"ST",1894,"2.75"
"212-35","103 WALKER ST","942","Private College, University",9166.9998816,398800,307800,706600,"/",7/10/1962,"APARTMENTS",5671,"",1894,""
"212-47","40 AVON ST","199","CONDO-BLDG",7279.999848,807700,0,807700," 57165/ 125",7/20/2011,"",6775,"",1854,"2.5"
"212-47","38-40  AVON ST  #38","102","CONDOMINIUM",0,0,1759100,1759100," 60650/ 263",12/5/2012,"SEMIDETACHED",3870,"",1854,""
"212-47","38-40  AVON ST  #40","102","CONDOMINIUM",0,0,1326600,1326600," 57165/ 130",7/20/2011,"SEMIDETACHED",2464,"",1854,""
"212-48","34 AVON ST","101","SNGL-FAM-RES",7693.0000488,878200,769900,1648100," 51772/ 506",10/8/2008,"VICTORIAN",3453,"BK",1873,"1.75"
"212-49","30 AVON ST","105","THREE-FM-RES",6867.0000828,822700,568500,1391200," 46547/ 122",11/28/2005,"VICTORIAN",5370,"BK",1873,"2.5"
"212-51","77-81 MARTIN ST","199","CONDO-BLDG",12519.999954,0,0,0,"/",1/1/1900,"",40277,"",1920,"4"
"212-51","81 MARTIN ST #1","102","CONDOMINIUM",0,0,322400,322400," 32013/ 554",11/9/2000,"APARTMENT",715,"AP",1920,"1"
"212-51","81 MARTIN ST #2","102","CONDOMINIUM",0,0,359700,359700," 34515/ 467",1/8/2002,"APARTMENT",852,"",1920,"1"
"212-51","81 MARTIN ST #3","102","CONDOMINIUM",0,0,358300,358300," 13577/ 641",11/6/1978,"APARTMENT",917,"AP",1920,"1"
"212-51","81 MARTIN ST #4","102","CONDOMINIUM",0,0,279700,279700," 32524/  13",3/20/2001,"APARTMENT",634,"AP",1920,"1"
"212-51","81 MARTIN ST #5","102","CONDOMINIUM",0,0,341300,341300," 47092/ 224",3/10/2006,"APARTMENT",707,"AP",1920,"1"
"212-51","81 MARTIN ST #6","102","CONDOMINIUM",0,0,314300,314300," 13539/  74",9/14/1978,"APARTMENT",777,"AP",1920,"1"
"212-51","81 MARTIN ST #7","102","CONDOMINIUM",0,0,357700,357700," 13577/ 672",11/6/1978,"APARTMENT",915,"AP",1920,"1"
"212-51","81 MARTIN ST #8","102","CONDOMINIUM",0,0,299600,299600," 51208/ 499",5/22/2008,"APARTMENT",614,"",1920,"1"
"212-51","81 MARTIN ST #21","102","CONDOMINIUM",0,0,322000,322000," 13577/ 664",11/6/1978,"APARTMENT",808,"AP",1920,"1"
"212-51","81 MARTIN ST #22","102","CONDOMINIUM",0,0,312800,312800," 26552/ 178",8/1/1996,"APARTMENT",762,"AP",1920,"1"
"212-51","81 MARTIN ST #23","102","CONDOMINIUM",0,0,358300,358300," 30968/ 346",12/16/1999,"APARTMENT",917,"",1920,"1"
"212-51","81 MARTIN ST #24","102","CONDOMINIUM",0,0,309100,309100," 24430/  51",4/12/1994,"APARTMENT",649,"",1920,"1"
"212-51","81 MARTIN ST #25","102","CONDOMINIUM",0,0,333200,333200," 54181/ 414",1/21/2010,"APARTMENT",813,"AP",1920,"1"
"212-51","81 MARTIN ST #26","102","CONDOMINIUM",0,0,314300,314300," 31499/ 277",6/14/2000,"APARTMENT",777,"AP",1920,"1"
"212-51","81 MARTIN ST #27","102","CONDOMINIUM",0,0,357700,357700," 33291/ 440",7/20/2001,"APARTMENT",915,"AP",1920,"1"
"212-51","81 MARTIN ST #28","102","CONDOMINIUM",0,0,281900,281900," 19198/ 372",7/15/1988,"APARTMENT",643,"AP",1920,"1"
"212-51","81 MARTIN ST #31","102","CONDOMINIUM",0,0,350900,350900," 45615/  62",7/15/2005,"APARTMENT",808,"AP",1920,"1"
"212-51","81 MARTIN ST #32","102","CONDOMINIUM",0,0,310400,310400," 29356/ 311",11/6/1978,"APARTMENT",762,"AP",1920,"1"
"212-51","81 MARTIN ST #33","102","CONDOMINIUM",0,0,358300,358300," 60663/ 204",12/6/2012,"APARTMENT",917,"AP",1920,"1"
"212-51","81 MARTIN ST #34","102","CONDOMINIUM",0,0,309100,309100," 50022/ 221",8/29/2007,"APARTMENT",649,"AP",1920,"1"
"212-51","81 MARTIN ST #35","102","CONDOMINIUM",0,0,323200,323200," 59713/ 285",8/8/2012,"APARTMENT",813,"AP",1920,"1"
"212-51","81 MARTIN ST #36","102","CONDOMINIUM",0,0,314300,314300," 26168/ 131",3/26/1996,"APARTMENT",777,"AP",1920,"1"
"212-51","81 MARTIN ST #37","102","CONDOMINIUM",0,0,357700,357700," 27579/ 185",8/15/1997,"APARTMENT",915,"AP",1920,"1"
"212-51","81 MARTIN ST #38","102","CONDOMINIUM",0,0,307500,307500," 45918/ 149",8/23/2005,"APARTMENT",643,"AP",1920,"1"
"212-51","81 MARTIN ST #41","102","CONDOMINIUM",0,0,322000,322000," 48042/ 245",8/24/2006,"APARTMENT",808,"AP",1920,"1"
"212-51","81 MARTIN ST #42","102","CONDOMINIUM",0,0,310400,310400," 30942/ 458",12/9/1999,"APARTMENT",762,"AP",1920,"1"
"212-51","81 MARTIN ST #43","102","CONDOMINIUM",0,0,440700,440700," 59807/ 399",8/21/2012,"APARTMENT",917,"",1920,"1"
"212-51","81 MARTIN ST #44","102","CONDOMINIUM",0,0,523400,523400," 48952/ 588",2/5/2007,"APARTMENT",1292,"AP",1920,"1"
"212-51","81 MARTIN ST #45","102","CONDOMINIUM",0,0,323200,323200," 42886/ 329",5/25/2004,"APARTMENT",813,"AP",1920,"1"
"212-51","81 MARTIN ST #46","102","CONDOMINIUM",0,0,362000,362000," 55013/ 222",7/20/2010,"APARTMENT",777,"AP",1920,"1"
"212-51","81 MARTIN ST #47","102","CONDOMINIUM",0,0,461500,461500," 55430/ 153",9/22/2010,"APARTMENT",915,"AP",1920,"1"
"212-52","36-42 LINNAEAN ST","199","CONDO-BLDG",17061.9998472,0,0,0,"/",1/1/1998,"",50035,"",1920,"4"
"212-52","42 LINNAEAN ST #42B","102","CONDOMINIUM",0,0,251600,251600,"   U12/  145",1/11/1983,"BASEMENT",800,"BS",1920,"1"
"212-52","36 LINNAEAN ST #36/1","102","CONDOMINIUM",0,0,279000,279000,"    88/  21",5/4/2005,"APARTMENT",545,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/2","102","CONDOMINIUM",0,0,362700,362700,"   U46/ 139",7/15/1993,"APARTMENT",815,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/3","102","CONDOMINIUM",0,0,307000,307000,"    86/  21",12/3/2004,"APARTMENT",650,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/4","102","CONDOMINIUM",0,0,310600,310600,"    94/  75",6/18/2006,"APARTMENT",545,"",1920,"1"
"212-52","36 LINNAEAN ST #36/5","102","CONDOMINIUM",0,0,360400,360400,"   U57/ 156",4/16/1997,"APARTMENT",815,"",1920,"1"
"212-52","36 LINNAEAN ST #36/6","102","CONDOMINIUM",0,0,219300,219300,"   U63/ 140",12/24/1998,"APARTMENT",385,"",1920,"1"
"212-52","36 LINNAEAN ST #36/7","102","CONDOMINIUM",0,0,213600,213600,"   101/ 108",9/28/2007,"APARTMENT",375,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/8","102","CONDOMINIUM",0,0,281400,281400,"   U40/  94",11/7/1990,"APARTMENT",545,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/9","102","CONDOMINIUM",0,0,333700,333700,"   U77/  20",10/25/2002,"APARTMENT",815,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/1","102","CONDOMINIUM",0,0,357300,357300,"   U65/ 153",7/8/1999,"APARTMENT",795,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/2","102","CONDOMINIUM",0,0,303100,303100,"   U56/  23",9/4/1996,"APARTMENT",635,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/3","102","CONDOMINIUM",0,0,345900,345900,"   119/ 117",1/23/2012,"APARTMENT",755,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/4","102","CONDOMINIUM",0,0,302700,302700,"   U36/ 162",7/31/1989,"APARTMENT",625,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/5","102","CONDOMINIUM",0,0,321500,321500,"   104/ 141",7/25/2008,"APARTMENT",555,"",1920,"1"
"212-52","38 LINNAEAN ST #38/6","102","CONDOMINIUM",0,0,300800,300800,"   113/  63",8/27/2010,"APARTMENT",570,"",1920,"1"
"212-52","38 LINNAEAN ST #38/7","102","CONDOMINIUM",0,0,319800,319800,"   100/  87",7/23/2007,"APARTMENT",580,"",1920,"1"
"212-52","38 LINNAEAN ST #38/8","102","CONDOMINIUM",0,0,302700,302700,"   U64/ 117",3/30/1999,"APARTMENT",625,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/9","102","CONDOMINIUM",0,0,281300,281300,"   U76/  96",8/29/2002,"APARTMENT",555,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/1","102","CONDOMINIUM",0,0,288100,288100,"   123/ 131",12/17/2012,"APARTMENT",575,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/2","102","CONDOMINIUM",0,0,335800,335800,"   119/  58",12/21/2011,"APARTMENT",595,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/3","102","CONDOMINIUM",0,0,329900,329900,"    U8/  56",7/31/1981,"APARTMENT",800,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/4","102","CONDOMINIUM",0,0,264000,264000,"   U76/ 187",10/3/2002,"APARTMENT",575,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/5","102","CONDOMINIUM",0,0,252500,252500,"   U41/  71",5/21/1991,"APARTMENT",595,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/6","102","CONDOMINIUM",0,0,264000,264000,"   U64/  84",4/22/1988,"APARTMENT",575,"",1920,"1"
"212-52","40 LINNAEAN ST #40/7","102","CONDOMINIUM",0,0,207900,207900,"   113/  64",8/27/2010,"APARTMENT",395,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/8","102","CONDOMINIUM",0,0,264000,264000,"   U35/ 126",2/22/1989,"APARTMENT",575,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/9","102","CONDOMINIUM",0,0,271900,271900,"   U62/  63",5/3/1995,"APARTMENT",595,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/1","102","CONDOMINIUM",0,0,261100,261100,"   U46/  65",5/26/1993,"APARTMENT",550,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/2","102","CONDOMINIUM",0,0,318900,318900,"   U67/  26",11/29/1999,"APARTMENT",545,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/3","102","CONDOMINIUM",0,0,265300,265300,"  1382/ 104",4/14/2010,"APARTMENT",660,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/4","102","CONDOMINIUM",0,0,165000,165000,"    97/ 143",2/1/2007,"APARTMENT",550,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/5","102","CONDOMINIUM",0,0,192100,192100,"   U17/ 128",8/30/1984,"APARTMENT",365,"",1920,"1"
"212-52","42 LINNAEAN ST #42/6","102","CONDOMINIUM",0,0,202600,202600,"   U36/ 182",8/3/1989,"APARTMENT",385,"",1920,"1"
"212-52","42 LINNAEAN ST #42/7","102","CONDOMINIUM",0,0,260100,260100,"   U51/ 108",2/28/1995,"APARTMENT",545,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/8","102","CONDOMINIUM",0,0,150000,150000,"   115/  96",5/19/2011,"APARTMENT",550,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/9","102","CONDOMINIUM",0,0,192100,192100,"   U54/ 113",3/22/1996,"APARTMENT",365,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/10","102","CONDOMINIUM",0,0,219300,219300,"    90/  67",8/31/2005,"APARTMENT",385,"",1920,"1"
"212-52","36 LINNAEAN ST #36/11","102","CONDOMINIUM",0,0,213600,213600,"   114/  93",1/21/2011,"APARTMENT",375,"",1920,"1"
"212-52","36 LINNAEAN ST #36/12","102","CONDOMINIUM",0,0,257800,257800,"   U54/ 182",2/12/1988,"APARTMENT",545,"",1920,"1"
"212-52","36 LINNAEAN ST #36/14","102","CONDOMINIUM",0,0,219300,219300,"   U30/   4",10/1/1987,"APARTMENT",385,"AP",1920,"1"
"212-52","36 LINNAEAN ST #36/15","102","CONDOMINIUM",0,0,197300,197300,"   U52/  92",7/14/1995,"APARTMENT",375,"AP",1920,"1"
"212-52","36 LINNAEAN ST #3612A","102","CONDOMINIUM",0,0,333700,333700,"   U26/ 187",1/1/1900,"APARTMENT",815,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/10","102","CONDOMINIUM",0,0,262800,262800,"   U78/ 199",5/13/2003,"APARTMENT",570,"",1920,"1"
"212-52","38 LINNAEAN ST #38/11","102","CONDOMINIUM",0,0,306100,306100,"   113/   9",7/29/2010,"APARTMENT",580,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/12","102","CONDOMINIUM",0,0,279800,279800,"    U9/ 162",2/5/2002,"APARTMENT",625,"",1920,"1"
"212-52","38 LINNAEAN ST #38/14","102","CONDOMINIUM",0,0,284500,284500,"   104/  99",7/2/2008,"APARTMENT",570,"AP",1920,"1"
"212-52","38 LINNAEAN ST #38/15","102","CONDOMINIUM",0,0,289700,289700,"/",1/1/1900,"APARTMENT",580,"",1920,"1"
"212-52","38 LINNAEAN ST #3812A","102","CONDOMINIUM",0,0,241100,241100,"    U8/  51",7/31/1981,"APARTMENT",555,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/10","102","CONDOMINIUM",0,0,326700,326700,"   103/  22",3/10/2008,"APARTMENT",575,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/11","102","CONDOMINIUM",0,0,207900,207900,"   U76/ 157",9/20/2002,"APARTMENT",395,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/12","102","CONDOMINIUM",0,0,266400,266400,"    U8/  65",7/31/1981,"APARTMENT",575,"AP",1920,"1"
"212-52","40 LINNAEAN ST #40/14","102","CONDOMINIUM",0,0,285800,285800,"   113/  60",8/27/2010,"APARTMENT",575,"",1920,"1"
"212-52","40 LINNAEAN ST #40/15","102","CONDOMINIUM",0,0,207900,207900,"   U26/ 197",9/13/1984,"APARTMENT",395,"",1920,"1"
"212-52","40 LINNAEAN ST #4012A","102","CONDOMINIUM",0,0,271900,271900,"   U64/  43",7/31/1981,"APARTMENT",595,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/10","102","CONDOMINIUM",0,0,202600,202600,"   121/  30",5/31/2012,"APARTMENT",385,"",1920,"1"
"212-52","42 LINNAEAN ST #42/11","102","CONDOMINIUM",0,0,260100,260100,"   U24/  84",7/1/1986,"APARTMENT",545,"",1920,"1"
"212-52","42 LINNAEAN ST #42/12","102","CONDOMINIUM",0,0,261100,261100,"   U56/  24",9/5/1996,"APARTMENT",550,"AP",1920,"1"
"212-52","42 LINNAEAN ST #42/14","102","CONDOMINIUM",0,0,202600,202600,"   123/  43",11/1/2012,"APARTMENT",385,"",1920,"1"
"212-52","42 LINNAEAN ST #42/15","102","CONDOMINIUM",0,0,257800,257800,"    U8/  83",1/1/1900,"APARTMENT",545,"",1920,"1"
"212-52","42 LINNAEAN ST #4212A","102","CONDOMINIUM",0,0,192100,192100,"   U79/ 184",7/16/2003,"APARTMENT",365,"",1920,"1"
"212-53","21 AVON ST","105","THREE-FM-RES",10898.9999316,1002100,645900,1648000," 14816/  66",12/9/1982,"VICTORIAN",8675,"BK",1873,"3"
