"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"175-90","26 LINNAEAN ST #3","102","CONDOMINIUM",0,0,282700,282700," 27138/ 484",3/18/1997,"APARTMENT",630,"",1900,"0"
"175-90","26 LINNAEAN ST #4","102","CONDOMINIUM",0,0,259900,259900," 27138/ 490",3/18/1997,"TWO-FLOORS",605,"",1900,"0"
"175-91","24 LINNAEAN ST","101","SNGL-FAM-RES",6029.99991,768100,1047600,1815700," 25666/ 523",9/19/1995,"VICTORIAN",5500,"BK",1890,"3"
"176-1","42 ARLINGTON ST","101","SNGL-FAM-RES",6250.0001256,781100,1362100,2143200," 50078/  33",9/10/2007,"VICTORIAN",5220,"BK",1871,"3"
"176-2","38 ARLINGTON ST","104","TWO-FAM-RES",10321.9998156,975600,1655400,2631000," 58279/ 316",1/12/2012,"VICTORIAN",8628,"BK",1874,"3"
"176-3","36 ARLINGTON ST","101","SNGL-FAM-RES",14121.9999756,1108700,1059000,2167700," 21481/ 457",10/18/1991,"VICTORIAN",6392,"BK",1872,"3"
"176-4","32 ARLINGTON ST","101","SNGL-FAM-RES",10466.000028,982300,1307900,2290200," 17678/ 364",12/17/1986,"VICTORIAN",6090,"BK",1889,"2.75"
"176-7","26 ARLINGTON ST","101","SNGL-FAM-RES",8032.999788,898300,1145200,2043500," 27928/ 128",12/1/1997,"VICTORIAN",6376,"ST",1869,"3"
"176-8","24 ARLINGTON ST","101","SNGL-FAM-RES",10847.9998836,999900,535700,1535600," 41075/ 416",10/1/2003,"VICTORIAN",5370,"ST",1869,"2.5"
"176-9","22 ARLINGTON ST","101","SNGL-FAM-RES",6580.9999332,803800,468200,1272000," 59828/ 405",8/23/2012,"VICTORIAN",4996,"BK",1862,"3"
"176-10","16 ARLINGTON ST","104","TWO-FAM-RES",6500.0001132,798500,546700,1345200,"  1372/  33",7/28/2009,"VICTORIAN",4863,"BK",1887,"3"
"176-13","1800-2 MASSACHUSETTS AVE","199","CONDO-BLDG",30066.9998904,0,0,0,"/",1/1/1998,"",26120,"",1920,"3"
"176-13","2-6 ARLINGTON ST #2/1","102","CONDOMINIUM",0,0,163500,163500," 38155/ 614",3/3/2003,"BASEMENT",364,"",1920,"0"
"176-13","2-6 ARLINGTON ST #2/2","102","CONDOMINIUM",0,0,174900,174900," 55010/ 582",7/20/2010,"BASEMENT",339,"",1920,"0"
