"ID","ML","Location","LandArea","UseCode","UseDescription","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","GrossArea","SaleDate","StyleDesc","Occupancy","AYBYrBuilt","BldgStories"
7133,"94-181","142 PEARL ST #423",0.00,"102","CONDOMINIUM",0,343700,343700," 29527/ 103",1084.00,12/15/1998 0:00:00,"APARTMENT",,1920,"1"
7134,"94-181","144 PEARL ST #441",0.00,"102","CONDOMINIUM",0,328300,328300," 25446/ 578",901.00,6/29/1995 0:00:00,"APARTMENT","FL",1920,"1"
7135,"94-181","144 PEARL ST #442",0.00,"102","CONDOMINIUM",0,336500,336500," 30303/ 546",943.00,6/16/1999 0:00:00,"APARTMENT","FL",1920,"1"
7136,"94-181","144 PEARL ST #443",0.00,"102","CONDOMINIUM",0,336500,336500," 22864/ 319",943.00,1/29/1993 0:00:00,"FLAT","FL",1920,"1"
7137,"94-182","148 PEARL ST",4151.00,"104","TWO-FAM-RES",363700,104400,468100," 57475/ 411",2682.00,9/20/2011 0:00:00,"OLD STYLE TWO FAM","BK",1855,"1.5"
7138,"94-188","32 VALENTINE ST",1445.99,"101","SNGL-FAM-RES",246500,201000,447500," 30892/ 435",1882.00,11/23/1999 0:00:00,"TOWNHSE-END","SL",1976,"2.25"
7139,"94-189","36 VALENTINE ST",1186.99,"101","SNGL-FAM-RES",240200,178100,418300," 19990/  78",1380.00,8/4/1989 0:00:00,"TOWNHOUSE","SL",1976,"2.25"
7140,"94-190","38 VALENTINE ST",1229.00,"101","SNGL-FAM-RES",241800,200500,442300," 55989/ 307",1452.00,12/6/2010 0:00:00,"TOWNHOUSE","SL",1976,"2.25"
7141,"94-191","40 VALENTINE ST",1230.99,"101","SNGL-FAM-RES",241800,189700,431500," 16462/ 545",1458.00,9/30/1985 0:00:00,"TOWNHSE-END","SL",1976,"2.25"
7142,"94-192","42 VALENTINE ST",1622.99,"101","SNGL-FAM-RES",249500,160900,410400," 54182/ 168",1701.00,1/21/2010 0:00:00,"TOWNHSE-END","SL",1976,"2.25"
7143,"94-193","44 VALENTINE ST",1458.99,"101","SNGL-FAM-RES",246700,173800,420500," 43217/ 377",1840.00,7/2/2004 0:00:00,"TOWNHOUSE","SL",1977,"2.25"
7144,"94-194","164 PEARL ST",1631.99,"101","SNGL-FAM-RES",249600,164400,414000," 16992/ 459",1758.00,5/14/1986 0:00:00,"TOWNHSE-END","SL",1902,"2.25"
7145,"94-195","162 PEARL ST",1448.99,"101","SNGL-FAM-RES",246500,179700,426200," 35392/ 293",1380.00,5/1/2002 0:00:00,"TOWNHSE-END","SL",1978,"2.25"
7146,"94-196","46 VALENTINE ST",1524.99,"101","SNGL-FAM-RES",247200,160500,407700," 45792/ 174",1458.00,8/4/2005 0:00:00,"TOWNHSE-END","SL",1976,"2.25"
7147,"94-197","34 VALENTINE ST",1799.00,"101","SNGL-FAM-RES",253600,186600,440200," 16430/ 385",1401.00,9/17/1992 0:00:00,"TOWNHOUSE","SL",1976,"2.25"
7148,"94-198","171-171 ERIE ST",2932.00,"104","TWO-FAM-RES",278100,204900,483000," 56904/ 440",2027.00,5/26/2011 0:00:00,"TOWNHSE-END","SL",1978,"3"
7149,"94-200","167 ERIE ST",1919.99,"104","TWO-FAM-RES",255900,204600,460500,"  1309/ 128",2011.00,10/6/2005 0:00:00,"TOWNHOUSE","SL",1978,"3"
7150,"94-202","163 ERIE ST",1919.99,"101","SNGL-FAM-RES",255900,164700,420600," 27821/ 314",1368.00,10/30/1997 0:00:00,"TOWNHOUSE","SL",1978,"2"
7151,"94-203","161 ERIE ST",1919.99,"101","SNGL-FAM-RES",255900,176600,432500," 30387/  45",1368.00,7/2/1999 0:00:00,"TOWNHOUSE","SL",1978,"2"
7152,"94-204","159-159 ERIE ST",1919.99,"104","TWO-FAM-RES",255900,243500,499400," 55032/  35",2035.00,7/23/2010 0:00:00,"TOWNHOUSE","SL",1978,"3"
7153,"94-205","157-157 ERIE ST",1919.99,"199","CONDO-BLDG",255900,0,255900," 56849/  39",2700.00,5/12/2011 0:00:00,,,1978,"3"
7154,"94-205","157 ERIE ST #157",0.00,"102","CONDOMINIUM",0,572900,572900," 55032/   /",1444.00,7/23/2010 0:00:00,"TWO-FLOORS",,1978,
7155,"94-205","157 ERIE ST #157A",0.00,"102","CONDOMINIUM",0,249400,249400," 55032/   8",473.00,7/23/2010 0:00:00,"TWO-FLOORS",,1978,
7156,"94-206","155 ERIE ST",1919.99,"101","SNGL-FAM-RES",255900,167900,423800," 56493/ 587",1368.00,2/18/2011 0:00:00,"TOWNHOUSE","SL",1978,"2"
7157,"94-207","153-153 ERIE ST",1919.99,"104","TWO-FAM-RES",255900,217200,473100," 50613/ 497",2700.00,1/18/2008 0:00:00,"TOWNHOUSE","SL",1978,"3"
7158,"94-208","151-151A ERIE ST",3040.99,"104","TWO-FAM-RES",281800,217300,499100," 50613/ 495",2720.00,1/18/2008 0:00:00,"TOWNHSE-END","SL",1978,"3"
7159,"94-209","169-169 ERIE ST",1901.00,"104","TWO-FAM-RES",255600,212000,467600," 54772/ 361",2055.00,6/2/2010 0:00:00,"TOWNHOUSE","SL",1978,"3"
7160,"94-212","165-165A ERIE ST",1919.99,"104","TWO-FAM-RES",255900,206700,462600,"  1349/  49",2055.00,1/18/2008 0:00:00,"TOWNHOUSE","SL",1978,"3"
7161,"94-213","141 ERIE ST",1727.99,"104","TWO-FAM-RES",302800,252400,555200," 41647/ 016",3378.00,12/19/2003 0:00:00,"CONVENTIONAL","BK",1903,"3"
7162,"94-214","139 ERIE ST",1572.99,"105","THREE-FM-RES",299300,262600,561900," 48855/ 362",3126.00,1/18/2007 0:00:00,"ROW","BK",1903,"3"
7163,"94-215","137 ERIE ST",1673.99,"104","TWO-FAM-RES",301300,316700,618000,"/",3480.00,12/14/1979 0:00:00,"ROW-END","BK",1903,"3"
7164,"94-217","1-11 ROLLINS CT",15848.00,"199","CONDO-BLDG",0,0,0,"/",7296.00,1/1/1900 0:00:00,,,1872,"2"
7165,"94-217","29 LOPEZ ST #1",0.00,"102","CONDOMINIUM",0,544600,544600," 26430/ 415",1895.00,8/15/1988 0:00:00,"TOWNHOUSE",,1872,"3"
7166,"94-217","27 LOPEZ ST #2",0.00,"102","CONDOMINIUM",0,610700,610700," 51568/ 209",1886.00,8/14/2008 0:00:00,"TOWNHOUSE","TH",1872,"4"
7167,"94-217","3 ROLLINS CT #3",0.00,"102","CONDOMINIUM",0,584800,584800," 51892/ 506",1927.00,11/14/2008 0:00:00,"TOWNHSE-END","TE",1872,"4"
7168,"94-217","4 ROLLINS CT #4",0.00,"102","CONDOMINIUM",0,616600,616600," 57103/ 303",1927.00,7/7/2011 0:00:00,"TOWNHOUSE",,1872,"3"
7169,"94-217","5 ROLLINS CT #5",0.00,"102","CONDOMINIUM",0,550900,550900," 49855/ 155",1927.00,7/30/2007 0:00:00,"TOWNHOUSE",,1872,"3"
7170,"94-217","6 ROLLINS CT #6",0.00,"102","CONDOMINIUM",0,724700,724700," 52598/ 230",1927.00,4/17/2009 0:00:00,"TOWNHOUSE","TH",1872,"3"
7171,"94-217","7 ROLLINS CT #7",0.00,"102","CONDOMINIUM",0,544600,544600," 39826/ 266",1895.00,7/7/2003 0:00:00,"TOWNHOUSE",,1872,"3"
7172,"94-217","8 ROLLINS CT #8",0.00,"102","CONDOMINIUM",0,556900,556900,"/",1958.00,12/9/2002 0:00:00,"TOWNHOUSE",,1872,"3"
7173,"94-217","9 ROLLINS CT #9",0.00,"102","CONDOMINIUM",0,544600,544600," 18215/ 305",1895.00,6/11/1987 0:00:00,"TOWNHOUSE",,1872,"3"
7174,"94-217","10 ROLLINS CT #10",0.00,"102","CONDOMINIUM",0,504100,504100," 22400/ 413",1699.00,9/16/1992 0:00:00,"TOWNHOUSE",,1872,"3"
7175,"94-217","11 ROLLINS CT #11",0.00,"102","CONDOMINIUM",0,620400,620400," 22752/ 297",1824.00,12/21/1992 0:00:00,"TOWNHOUSE","TH",1872,"3"
7176,"94-218","118 PEARL ST",2109.00,"199","CONDO-BLDG",0,0,0,"/",3840.00,5/9/1996 0:00:00,,,1874,"3"
7177,"94-218","118 PEARL ST #1",0.00,"102","CONDOMINIUM",0,263400,263400," 49849/ 157",740.00,7/27/2007 0:00:00,"FLAT",,1874,"0"
7178,"94-218","118 PEARL ST #2",0.00,"102","CONDOMINIUM",0,470600,470600," 32068/ 234",1688.00,11/28/2000 0:00:00,"TWO-FLOORS",,1874,"0"
7179,"94-219","120 PEARL ST",2502.99,"104","TWO-FAM-RES",266100,345900,612000," 57978/ 334",3796.00,11/30/2011 0:00:00,"OLD STYLE TWO FAM","BK",1886,"2.75"
7180,"94-220","150 PEARL ST",2344.99,"104","TWO-FAM-RES",316500,187300,503800,"  1358/ 118",2584.00,7/14/2008 0:00:00,"CONVENTIONAL","BK",1902,
7181,"94-221","152 PEARL ST",2654.99,"199","CONDO-BLDG",268200,0,268200,"  1280/ 126",5576.00,2/9/2004 0:00:00,,,1900,
7182,"94-221","152 PEARL ST #1",0.00,"102","CONDOMINIUM",0,241600,241600,"    85/ 133",555.00,10/27/2004 0:00:00,"APARTMENT",,1900,
7183,"94-221","152 PEARL ST #2",0.00,"102","CONDOMINIUM",0,241600,241600,"    86/  25",555.00,12/8/2004 0:00:00,"APARTMENT",,1900,
7184,"94-221","152 PEARL ST #3",0.00,"102","CONDOMINIUM",0,273200,273200,"   112/  21",555.00,5/24/2010 0:00:00,"APARTMENT",,1900,
7185,"94-221","152 PEARL ST #4",0.00,"102","CONDOMINIUM",0,251000,251000,"   111/  95",600.00,4/12/2010 0:00:00,"APARTMENT",,1900,
7186,"94-221","152 PEARL ST #5",0.00,"102","CONDOMINIUM",0,490300,490300,"   105/  85",1530.00,9/2/2008 0:00:00,"APARTMENT",,1900,
7187,"94-222","16 WATSON ST",2033.00,"101","SNGL-FAM-RES",278000,597100,875100," 48896/ 340",2748.00,1/26/2007 0:00:00,"COLONIAL","BK",1868,"2.25"
7188,"94-223","14 WATSON ST",2625.00,"101","SNGL-FAM-RES",291100,561400,852500," 47377/ 162",2610.00,5/1/2006 0:00:00,"CONTEMPORARY","BK",1868,"2.25"
7189,"94-224","12A WATSON ST",2400.00,"101","SNGL-FAM-RES",263500,547100,810600," 53168/ 268",2840.00,7/9/2009 0:00:00,"TOWNHOUSE","BK",2005,"2.5"
7190,"94-225","12B WATSON ST",1328.00,"101","SNGL-FAM-RES",244000,499600,743600," 56644/ 488",2394.00,3/25/2011 0:00:00,"TOWNHOUSE","BK",2005,"2.5"
7191,"95-1","194 BROOKLINE ST",4050.00,"390","COM-DEV-LAND",147000,0,147000," 32231/ 167",,7/2/1998 0:00:00,,,0,
7192,"95-2","190 BROOKLINE ST",3300.00,"104","TWO-FAM-RES",347800,309500,657300," 32231/ 165",4960.00,1/11/2001 0:00:00,"DUPLEX","BK",1873,"2.5"
7193,"95-3","186 BROOKLINE ST",3353.00,"101","SNGL-FAM-RES",349100,294200,643300," 32231/ 161",3277.00,1/11/2001 0:00:00,"CONVENTIONAL","BK",1905,"2.25"
7194,"95-4","184 BROOKLINE ST",2805.00,"1094","MULT-RES-2FAM",413700,230000,643700," 32231/ 157",3528.00,1/11/2001 0:00:00,"CONVENTIONAL","BK",1886,"2.25"
7195,"95-5","178 BROOKLINE ST",5535.00,"1095","MULT-RES-3FAM",458800,640300,1099100," 16392/  35",5634.00,8/28/1985 0:00:00,"DECKER","BK",1903,"3"
7196,"95-6","172 BROOKLINE ST",2423.99,"105","THREE-FM-RES",318200,225500,543700,"  1232/  81",3879.00,12/1/1972 0:00:00,"OLD STYLE THREE FAM","ST",1900,"2.5"
7197,"95-7","170 BROOKLINE ST",2134.00,"0104","MXD TWO-FAM-RES",333900,143400,477300," 29383/  75",1740.00,11/17/1998 0:00:00,"MULT-RESDNCE","2",1902,"2"
7198,"95-13","168 BROOKLINE ST",2201.00,"104","TWO-FAM-RES",314100,144800,458900," 28543/  60",3146.00,9/20/1993 0:00:00,"OLD STYLE TWO FAM","ST",1866,"2.5"
7199,"95-14","166 BROOKLINE ST",2319.99,"199","CONDO-BLDG",0,0,0," 28335/  72",4659.00,3/30/1998 0:00:00,,,1869,"3"
7200,"95-14","166 BROOKLINE ST #1",0.00,"102","CONDOMINIUM",0,361400,361400," 41325/ 491",910.00,10/31/2003 0:00:00,"FLAT","FL",1869,"1"
7201,"95-14","166 BROOKLINE ST #2",0.00,"102","CONDOMINIUM",0,368100,368100," 47199/ 147",940.00,3/31/2006 0:00:00,"FLAT",,1869,"0"
7202,"95-14","166 BROOKLINE ST #3",0.00,"102","CONDOMINIUM",0,380500,380500," 50391/ 546",1000.00,11/27/2007 0:00:00,"FLAT",,1869,"0"
7203,"95-15","162 BROOKLINE ST",2319.99,"199","CONDO-BLDG",316200,0,316200," 47501/ 366",4450.00,5/24/2006 0:00:00,,,1903,"3"
7204,"95-15","162 BROOKLINE ST #1",0.00,"102","CONDOMINIUM",0,318100,318100," 48178/  41",831.00,9/18/2006 0:00:00,"FLAT",,1903,
7205,"95-15","162 BROOKLINE ST #2",0.00,"102","CONDOMINIUM",0,317900,317900," 51430/ 577",830.00,7/11/2008 0:00:00,"FLAT",,1903,
7206,"95-15","162 BROOKLINE ST #3",0.00,"102","CONDOMINIUM",0,349100,349100," 56222/ 409",971.00,1/4/2011 0:00:00,"FLAT",,1903,
7207,"95-16","156 BROOKLINE ST",2319.99,"105","THREE-FM-RES",316200,462200,778400," 26236/ 264",5106.00,4/18/1996 0:00:00,"DECKER","BK",1903,"3"
7208,"95-17","154 BROOKLINE ST",2319.99,"105","THREE-FM-RES",316200,509800,826000," 48319/ 293",5106.00,10/16/2006 0:00:00,"DECKER","BK",1903,"3"
7209,"95-51","130 BROOKLINE ST",5000.00,"337","PARKING-LOT",181500,0,181500,"   760/ 123",0.00,1/1/1900 0:00:00,,,1928,"2"
7210,"95-52","116 BROOKLINE ST",9999.99,"401","WAREHOUSE",748000,876500,1624500," 57334/ 158",23554.00,8/23/2011 0:00:00,"INDUST-MFCTR","3",1921,"3"
7211,"95-57","90 PACIFIC ST",59218.00,"946","Vacant (Private Ed)",2071930,0,2071930,"/",,3/31/1970 0:00:00,,,0,
7212,"95-58","100 PACIFIC ST",10008.00,"130","RES-DEV-LAND",981800,0,981800," 54931/ 359",0.00,7/1/2010 0:00:00,,,0,"1"
7213,"95-59","112 PACIFIC ST",8709.00,"400","MANUFACTURNG",316100,51900,368000," 43251/ 441",1628.00,7/9/2004 0:00:00,"INDUST-MFCTR","1",1932,"1"
7214,"95-60","135 SIDNEY ST",8565.99,"337","PARKING-LOT",310900,3800,314700," 51126/ 281",0.00,5/2/2008 0:00:00,,,1954,"2"
7215,"95-61","25 TUDOR ST",14250.00,"401","WAREHOUSE",909200,369800,1279000," 13405/ 402",23284.00,3/16/1978 0:00:00,"INDUST-MFCTR","2",1924,"2"
7216,"95-66","29 TUDOR ST",11907.00,"400","MANUFACTURNG",707300,347900,1055200,"/",11780.00,1/1/1900 0:00:00,"INDUST-MFCTR","1",1919,"1"
7217,"95-68","3 EMILY ST",2296.00,"132","RES-UDV-LAND",35500,0,35500," 11815/ 267",,3/31/1970 0:00:00,,,0,
7218,"95-70","153 SIDNEY ST",8520.99,"442","IND-UDV-LAND",299900,0,299900,"/",,1/1/1900 0:00:00,,,0,
7219,"95-71","12 EMILY ST",41231.00,"404","RES-&-DEV-FC",2131600,6881000,9012600," 11815/ 267",61026.00,3/31/1970 0:00:00,"LIFE SCI HI TECH","1",1928,"2"
7220,"95-72","137-149 SIDNEY ST",38043.00,"404","RES-&-DEV-FC",2259800,10722400,12982200," 51126/ 281",38702.00,5/2/2008 0:00:00,"LIFE SCI HI TECH","2",1954,"2"
7221,"95-73","130 BROOKLINE ST",23813.00,"400","MANUFACTURNG",3182600,176800,3359400,"  1314/   9",45098.00,1/10/2006 0:00:00,"STORAGE-WHSE","2",1928,"2"
7222,"95-74","167 SIDNEY ST",30377.99,"406","HIGH-TECH",1670800,8351100,10021900," 50161/ 442",26475.00,9/28/2007 0:00:00,"LIFE SCI HI TECH","1",1927,"2"
7223,"95-75","99 ERIE ST",37844.00,"404","RES-&-DEV-FC",1873300,5402100,7275400,"  1345/  17",29040.00,9/28/2007 0:00:00,"LIFE SCI HI TECH","1",1927,"2"
7224,"95-76","15 TUDOR ST",20103.00,"340","GEN-OFFICE",1437400,2696500,4133900," 23648/ 574",24700.00,9/4/1986 0:00:00,"OFFICE","2",1910,"1"
7225,"95-77","15 TUDOR ST",6914.00,"337","PARKING-LOT",251000,4600,255600," 17364/ 308",,9/4/1986 0:00:00,,,0,
7226,"96-1","302 BROOKLINE ST",5000.00,"101","SNGL-FAM-RES",383800,604200,988000," 53126/ 108",4801.00,7/1/2009 0:00:00,"VICTORIAN","BK",1894,"2.5"
7227,"96-3","292 BROOKLINE ST",5000.00,"104","TWO-FAM-RES",383800,395800,779600," 25021/ 369",4842.00,11/29/1994 0:00:00,"OLD STYLE TWO FAM","CB",1886,"2.5"
7228,"96-4","286 BROOKLINE ST",3999.99,"104","TWO-FAM-RES",361100,343100,704200," 38230/ 561",4724.00,3/10/2003 0:00:00,"OLD STYLE TWO FAM","BK",1894,"2.5"
7229,"96-7","565 PUTNAM AVE",10499.99,"111","4-8-UNIT-APT",522500,792200,1314700," 40091/ 359",7089.00,7/23/2003 0:00:00,"MULT-RESDNCE","4",1894,"2.5"
7230,"96-11","577 PUTNAM AVE",4550.00,"199","CONDO-BLDG",0,0,0,"/",7228.00,1/1/1998 0:00:00,,,1993,"3"
7231,"96-11","577 PUTNAM AVE #1",0.00,"102","CONDOMINIUM",0,535700,535700," 32515/  12",2073.00,6/2/1993 0:00:00,"TOWNHOUSE","TT",1993,"4"
7232,"96-11","577 PUTNAM AVE #2",0.00,"102","CONDOMINIUM",0,575500,575500," 43421/ 526",2092.00,8/2/2004 0:00:00,"TOWNHOUSE","TH",1993,"3"
7233,"96-11","577 PUTNAM AVE #3",0.00,"102","CONDOMINIUM",0,587700,587700," 23391/  69",2189.00,7/6/1993 0:00:00,"TOWNHOUSE","TE",1993,"3"
7234,"96-14","259 SIDNEY ST",4084.00,"199","CONDO-BLDG",0,0,0,"/",7840.00,4/1/1993 0:00:00,,,1893,"2"
7235,"96-14","257-259 SIDNEY ST #A",0.00,"102","CONDOMINIUM",0,361800,361800," 42682/ 205",1240.00,5/3/2004 0:00:00,"FLAT","FL",1893,"1"
7236,"96-14","257-259 SIDNEY ST #B",0.00,"102","CONDOMINIUM",0,417800,417800," 56578/ 509",1260.00,3/9/2011 0:00:00,"FLAT","FL",1893,"1"
7237,"96-14","259 SIDNEY ST #DPLX",0.00,"102","CONDOMINIUM",0,676300,676300," 22811/ 200",2423.00,1/8/1993 0:00:00,"TWO-FLOORS","TW",1893,"2"
7238,"96-15","261 SIDNEY ST",2999.99,"105","THREE-FM-RES",337900,224300,562200," 15324/  28",2664.00,10/16/1979 0:00:00,"DUPLEX","BK",1886,"3"
7239,"96-16","265 SIDNEY ST",3170.00,"104","TWO-FAM-RES",344000,129700,473700," 13078/ 237",2652.00,10/13/1976 0:00:00,"OLD STYLE TWO FAM","BK",1886,"2"
7240,"96-17","45-47 CHESTNUT ST",2639.99,"199","CONDO-BLDG",0,0,0,"/",4839.00,7/7/1989 0:00:00,,,1916,"3"
7241,"96-17","45-47 CHESTNUT ST #45/1",0.00,"102","CONDOMINIUM",0,353100,353100," 51107/ 376",919.00,4/30/2008 0:00:00,"FLAT","FL",1916,"1"
7242,"96-17","45-47 CHESTNUT ST #47/2",0.00,"102","CONDOMINIUM",0,310100,310100," 53102/ 234",910.00,6/30/2009 0:00:00,"FLAT","FL",1916,"1"
7243,"96-17","45-47 CHESTNUT ST #47/3",0.00,"102","CONDOMINIUM",0,330900,330900," 21736/  63",914.00,2/4/1992 0:00:00,"FLAT","FL",1916,"1"
7244,"96-18","51 CHESTNUT ST",2449.99,"104","TWO-FAM-RES",319100,287300,606400," 42206/ 305",4469.00,3/10/2004 0:00:00,"OLD STYLE TWO FAM","BK",1886,"2.25"
7245,"96-20","59 CHESTNUT ST",8475.00,"104","TWO-FAM-RES",489500,333300,822800," 13058/ 564",5584.00,9/16/1976 0:00:00,"OLD STYLE TWO FAM","BK",1903,"2.5"
7246,"96-25","256 BROOKLINE ST",3319.00,"105","THREE-FM-RES",348300,537400,885700," 25597/ 458",6028.00,8/25/1995 0:00:00,"DECKER","ST",1930,"3"
7247,"96-26","254 BROOKLINE ST",3319.99,"105","THREE-FM-RES",348400,359800,708200," 18407/ 554",6240.00,7/27/1987 0:00:00,"DECKER","ST",1930,"3"
7248,"96-31","9 PETERS ST",3319.99,"199","CONDO-BLDG",0,0,0," 23343/ 211",5556.00,1/1/1998 0:00:00,,,1903,"3"
7249,"96-31","9 PETERS ST #1",0.00,"102","CONDOMINIUM",0,371900,371900," 40347/ 024",1229.00,8/6/2003 0:00:00,"FLAT","FL",1903,"1"
7250,"96-31","9 PETERS ST #2",0.00,"102","CONDOMINIUM",0,403500,403500," 56922/ 265",1229.00,5/31/2011 0:00:00,"FLAT","FL",1903,"1"
7251,"96-31","9 PETERS ST #3",0.00,"102","CONDOMINIUM",0,371900,371900," 42891/ 495",1229.00,5/26/2004 0:00:00,"FLAT","FL",1903,"1"
7252,"96-32","11 PETERS ST",3319.99,"199","CONDO-BLDG",341600,0,341600," 44778/ 422",5944.00,3/10/2005 0:00:00,,,1903,"3"
7253,"96-32","11 PETERS ST #1",0.00,"102","CONDOMINIUM",0,433800,433800," 55715/  31",1040.00,10/29/2010 0:00:00,"FLAT",,1903,
7254,"96-32","11 PETERS ST #2",0.00,"102","CONDOMINIUM",0,433800,433800," 57494/  35",1040.00,9/22/2011 0:00:00,"FLAT",,1903,
7255,"96-32","11 PETERS ST #3",0.00,"102","CONDOMINIUM",0,499300,499300," 46517/ 275",1221.00,11/21/2005 0:00:00,"FLAT",,1903,
7256,"96-33","570 PUTNAM AVE",2708.00,"104","TWO-FAM-RES",324600,260600,585200," 54421/ 295",4683.00,3/19/2010 0:00:00,"OLD STYLE TWO FAM","BK",1905,"2.5"
7257,"96-34","580 PUTNAM AVE",3999.99,"199","CONDO-BLDG",354100,0,354100," 46801/ 278",6770.00,1/10/2006 0:00:00,,,1894,"3"
7258,"96-34","580 PUTNAM AVE #1",0.00,"102","CONDOMINIUM",0,468200,468200," 48380/ 446",1313.00,10/26/2006 0:00:00,"FLAT",,1894,
7259,"96-34","580 PUTNAM AVE #2",0.00,"102","CONDOMINIUM",0,479400,479400," 48832/  19",1360.00,1/12/2007 0:00:00,"FLAT",,1894,
7260,"96-34","580 PUTNAM AVE #3",0.00,"102","CONDOMINIUM",0,519400,519400," 49664/ 505",1540.00,6/26/2007 0:00:00,"FLAT",,1894,
7261,"96-43","58 ALLSTON ST",2960.00,"105","THREE-FM-RES",336200,355000,691200," 39587/ 313",7218.00,6/17/2003 0:00:00,"DECKER","BK",1894,"3"
7262,"96-44","223 SIDNEY ST",3250.99,"930","Vacant City",113785,0,113785,"/",,1/1/1900 0:00:00,,,0,
7263,"96-45","SIDNEY ST",3249.99,"930","Vacant City",113750,0,113750,"/",,1/1/1900 0:00:00,,,0,
7264,"96-46","SIDNEY ST",3249.99,"930","Vacant City",113750,0,113750,"/",,1/1/1900 0:00:00,,,0,
7265,"96-47","SIDNEY ST",3250.99,"930","Vacant City",113785,0,113785,"/",,1/1/1900 0:00:00,,,0,
7266,"96-48","598-602 PUTNAM AVE",2960.00,"105","THREE-FM-RES",336200,897500,1233700," 42446/  57",6602.00,4/8/2004 0:00:00,"DECKER","BK",1894,"3"
7267,"96-49","592 PUTNAM AVE",4284.00,"199","CONDO-BLDG",0,0,0,"/",6676.00,1/1/1998 0:00:00,,,1894,"3"
7268,"96-49","592-596 PUTNAM AVE #1",0.00,"102","CONDOMINIUM",0,497500,497500," 57173/ 107",1252.00,7/21/2011 0:00:00,"FLAT",,1894,"1"
7269,"96-49","592-596 PUTNAM AVE #2",0.00,"102","CONDOMINIUM",0,489600,489600," 57025/ 180",1261.00,6/22/2011 0:00:00,"FLAT",,1894,"1"
7270,"96-49","592-596 PUTNAM AVE #3",0.00,"102","CONDOMINIUM",0,532100,532100," 27310/ 131",1408.00,5/20/1997 0:00:00,"FLAT","FL",1894,"1"
7271,"96-51","586-590 PUTNAM AVE",3199.99,"105","THREE-FM-RES",345000,1064600,1409600," 13545/ 673",6872.00,9/22/1978 0:00:00,"DECKER","BK",1894,"3"
7272,"96-52","238 BROOKLINE ST",3464.99,"101","SNGL-FAM-RES",352100,283300,635400," 49200/ 238",1892.00,3/29/2007 0:00:00,"CONVENTIONAL","ST",1873,"2"
7273,"96-53","232 BROOKLINE ST",3780.00,"105","THREE-FM-RES",358900,364600,723500,"  3451/ 137",4253.00,5/31/1978 0:00:00,"VICTORIAN","BK",1873,"3"
7274,"96-56","99 ALLSTON ST",1828.00,"101","SNGL-FAM-RES",306400,251000,557400," 49429/ 107",2014.00,5/11/2007 0:00:00,"CONVENTIONAL","ST",1873,"2"
7275,"96-57","216 BROOKLINE ST",2879.99,"104","TWO-FAM-RES",332700,187200,519900," 20572/ 285",3706.00,5/31/1990 0:00:00,"DUPLEX","BK",1873,"2.25"
7276,"96-58","214 BROOKLINE ST",2189.99,"105","THREE-FM-RES",313800,310900,624700," 56547/ 348",3879.00,3/2/2011 0:00:00,"DECKER","BK",1903,"2"
7277,"96-59","210 BROOKLINE ST",2235.00,"101","SNGL-FAM-RES",314900,191700,506600," 32603/ 141",2509.00,5/19/1986 0:00:00,"CONVENTIONAL","BK",1873,"2.25"
7278,"96-60","208 BROOKLINE ST",3107.00,"440","IND-DEV-LAND",112800,0,112800,"  1345/  17",,9/28/2007 0:00:00,,,0,
7279,"96-61","202 BROOKLINE ST",4671.99,"440","IND-DEV-LAND",169600,0,169600,"  1345/  17",,9/28/2007 0:00:00,,,0,
7280,"96-67","71 CHESTNUT ST",11249.99,"122","FRAT-SORORTY",615100,593600,1208700," 11894/ 635",12240.00,9/24/1970 0:00:00,"FRATERNITY","18",1873,"2.5"
7281,"96-69","6-8 PETERS ST",1248.00,"101","SNGL-FAM-RES",292000,229700,521700," 15440/  42",2828.00,2/9/1984 0:00:00,"CONVENTIONAL","BK",1903,"2.5"
7282,"96-70","80 ALLSTON ST",2043.99,"199","CONDO-BLDG",303000,0,303000," 48122/ 524",4032.00,9/6/2006 0:00:00,,,1903,"3"
7283,"96-70","80-82 ALLSTON ST #1",0.00,"102","CONDOMINIUM",0,363000,363000," 49616/ 264",1027.00,6/15/2007 0:00:00,"FLAT",,1903,
7284,"96-70","80-82 ALLSTON ST #2",0.00,"102","CONDOMINIUM",0,356900,356900," 49632/ 477",969.00,6/19/2007 0:00:00,"FLAT",,1903,
7285,"96-70","80-82 ALLSTON ST #3",0.00,"102","CONDOMINIUM",0,413700,413700," 54894/ 512",1150.00,6/28/2010 0:00:00,"FLAT",,1903,
7286,"96-71","76 ALLSTON ST",1892.99,"105","THREE-FM-RES",307900,179500,487400," 51714/  84",3376.00,9/24/2008 0:00:00,"DECKER","BK",1903,"3"
7287,"96-72","72 ALLSTON ST",2278.99,"105","THREE-FM-RES",315700,309800,625500," 26014/ 560",4299.00,1/31/1996 0:00:00,"DECKER","BK",1903,"3"
7288,"96-73","68 ALLSTON ST",2008.00,"199","CONDO-BLDG",302900,0,302900," 39220/ 403",3732.00,5/16/2003 0:00:00,,,1903,"3"
7289,"96-73","68 ALLSTON CT #1",0.00,"102","CONDOMINIUM",0,297200,297200," 53145/ 530",716.00,7/6/2009 0:00:00,"FLAT",,1903,
